Partei,Monat,Anzahl der Posts,Kumulative Anzahl
die_gruenen,2020-10,12,757
die_gruenen,2020-11,15,772
die_gruenen,2020-12,12,784
die_gruenen,2021-01,22,806
die_gruenen,2021-02,13,819
die_gruenen,2021-03,41,860
die_gruenen,2021-04,16,876
die_gruenen,2021-05,24,900
die_gruenen,2021-06,57,957
die_gruenen,2021-07,29,986
die_gruenen,2021-08,39,1025
die_gruenen,2021-09,75,1100
die_gruenen,2021-10,19,1119
die_gruenen,2021-11,28,1147
die_gruenen,2021-12,44,1191
die_gruenen,2022-01,16,1207
die_gruenen,2022-02,10,1217
die_gruenen,2022-03,36,1253
die_gruenen,2022-04,13,1266
die_gruenen,2022-05,17,1283
die_gruenen,2022-06,21,1304
die_gruenen,2022-07,19,1323
die_gruenen,2022-08,19,1342
die_gruenen,2022-09,47,1389
die_gruenen,2022-10,21,1410
die_gruenen,2022-11,23,1433
die_gruenen,2022-12,34,1467
die_gruenen,2023-01,23,1490
die_gruenen,2023-02,35,1525
die_gruenen,2023-03,32,1557
die_gruenen,2023-04,39,1596
die_gruenen,2023-05,44,1640
die_gruenen,2023-06,43,1683
die_gruenen,2023-07,36,1719
die_gruenen,2023-08,50,1769
die_gruenen,2023-09,39,1808
die_gruenen,2023-10,29,1837
die_gruenen,2023-11,59,1896
die_gruenen,2023-12,28,1924
die_gruenen,2024-01,72,1996
die_gruenen,2024-02,81,2077
die_gruenen,2024-03,74,2151
die_gruenen,2024-04,43,2194
die_gruenen,2024-05,75,2269
die_gruenen,2024-06,105,2374
die_gruenen,2024-07,32,2406
die_gruenen,2024-08,47,2453
die_gruenen,2024-09,53,2506
die_gruenen,2024-10,47,2553
die_gruenen,2024-11,76,2629
die_gruenen,2024-12,29,2658
dielinke,2014-02,1,1
dielinke,2014-03,0,0
dielinke,2014-04,0,0
dielinke,2014-05,0,0
dielinke,2014-06,0,0
dielinke,2014-07,0,0
dielinke,2014-08,0,0
dielinke,2014-09,0,0
dielinke,2014-10,0,0
dielinke,2014-11,0,0
dielinke,2014-12,0,0
dielinke,2015-01,0,0
dielinke,2015-02,0,0
dielinke,2015-03,0,0
dielinke,2015-04,0,0
dielinke,2015-05,3,4
dielinke,2015-06,56,60
dielinke,2015-07,21,81
dielinke,2015-08,9,90
dielinke,2015-09,10,100
dielinke,2015-10,13,113
dielinke,2015-11,10,123
dielinke,2015-12,13,136
dielinke,2016-01,13,149
dielinke,2016-02,14,163
dielinke,2016-03,27,190
dielinke,2016-04,18,208
dielinke,2016-05,34,242
dielinke,2016-06,27,269
dielinke,2016-07,17,286
dielinke,2016-08,11,297
dielinke,2016-09,22,319
dielinke,2016-10,10,329
dielinke,2016-11,16,345
dielinke,2016-12,19,364
dielinke,2017-01,7,371
dielinke,2017-02,11,382
dielinke,2017-03,18,400
dielinke,2017-04,6,406
dielinke,2017-05,27,433
dielinke,2017-06,34,467
dielinke,2017-07,11,478
dielinke,2017-08,40,518
dielinke,2017-09,115,633
dielinke,2017-10,19,652
dielinke,2017-11,23,675
dielinke,2017-12,19,694
dielinke,2018-01,34,728
dielinke,2018-02,28,756
dielinke,2018-03,35,791
dielinke,2018-04,48,839
dielinke,2018-05,26,865
dielinke,2018-06,30,895
dielinke,2018-07,18,913
dielinke,2018-08,9,922
dielinke,2018-09,82,1004
dielinke,2018-10,83,1087
dielinke,2018-11,30,1117
dielinke,2018-12,21,1138
dielinke,2019-01,45,1183
dielinke,2019-02,40,1223
dielinke,2019-03,43,1266
dielinke,2019-04,51,1317
dielinke,2019-05,62,1379
dielinke,2019-06,63,1442
dielinke,2019-07,25,1467
dielinke,2019-08,36,1503
dielinke,2019-09,45,1548
dielinke,2019-10,31,1579
dielinke,2019-11,23,1602
dielinke,2019-12,24,1626
dielinke,2020-01,43,1669
dielinke,2020-02,51,1720
dielinke,2020-03,38,1758
dielinke,2020-04,25,1783
dielinke,2020-05,48,1831
dielinke,2020-06,50,1881
dielinke,2020-07,25,1906
dielinke,2020-08,23,1929
dielinke,2020-09,38,1967
dielinke,2020-10,26,1993
dielinke,2020-11,32,2025
dielinke,2020-12,25,2050
dielinke,2021-01,31,2081
dielinke,2021-02,64,2145
dielinke,2021-03,49,2194
dielinke,2021-04,27,2221
dielinke,2021-05,49,2270
dielinke,2021-06,36,2306
dielinke,2021-07,36,2342
dielinke,2021-08,59,2401
dielinke,2021-09,92,2493
dielinke,2021-10,14,2507
dielinke,2021-11,36,2543
dielinke,2021-12,24,2567
dielinke,2022-01,33,2600
dielinke,2022-02,44,2644
dielinke,2022-03,69,2713
dielinke,2022-04,20,2733
dielinke,2022-05,34,2767
dielinke,2022-06,58,2825
dielinke,2022-07,55,2880
dielinke,2022-08,70,2950
dielinke,2022-09,42,2992
dielinke,2022-10,47,3039
dielinke,2022-11,15,3054
dielinke,2022-12,40,3094
dielinke,2023-01,54,3148
dielinke,2023-02,49,3197
dielinke,2023-03,52,3249
dielinke,2023-04,24,3273
dielinke,2023-05,33,3306
dielinke,2023-06,46,3352
dielinke,2023-07,37,3389
dielinke,2023-08,24,3413
dielinke,2023-09,31,3444
dielinke,2023-10,19,3463
dielinke,2023-11,57,3520
dielinke,2023-12,31,3551
dielinke,2024-01,47,3598
dielinke,2024-02,49,3647
dielinke,2024-03,72,3719
dielinke,2024-04,52,3771
dielinke,2024-05,74,3845
dielinke,2024-06,47,3892
dielinke,2024-07,55,3947
dielinke,2024-08,38,3985
dielinke,2024-09,68,4053
dielinke,2024-10,55,4108
dielinke,2024-11,66,4174
dielinke,2024-12,52,4226
fdp,2014-02,0,0
fdp,2014-03,0,0
fdp,2014-04,0,0
fdp,2014-05,0,0
fdp,2014-06,0,0
fdp,2014-07,0,0
fdp,2014-08,0,0
fdp,2014-09,0,0
fdp,2014-10,0,0
fdp,2014-11,0,0
fdp,2014-12,0,0
fdp,2015-01,0,0
fdp,2015-02,0,0
fdp,2015-03,0,0
fdp,2015-04,0,0
fdp,2015-05,0,0
fdp,2015-06,0,0
fdp,2015-07,1,1
fdp,2015-08,0,0
fdp,2015-09,0,0
fdp,2015-10,0,0
fdp,2015-11,0,0
fdp,2015-12,0,0
fdp,2016-01,0,0
fdp,2016-02,1,2
fdp,2016-03,56,58
fdp,2016-04,54,112
fdp,2016-05,8,120
fdp,2016-06,20,140
fdp,2016-07,8,148
fdp,2016-08,8,156
fdp,2016-09,19,175
fdp,2016-10,10,185
fdp,2016-11,6,191
fdp,2016-12,2,193
fdp,2017-01,24,217
fdp,2017-02,31,248
fdp,2017-03,26,274
fdp,2017-04,47,321
fdp,2017-05,25,346
fdp,2017-06,12,358
fdp,2017-07,31,389
fdp,2017-08,27,416
fdp,2017-09,33,449
fdp,2017-10,13,462
fdp,2017-11,15,477
fdp,2017-12,22,499
fdp,2018-01,30,529
fdp,2018-02,14,543
fdp,2018-03,21,564
fdp,2018-04,14,578
fdp,2018-05,12,590
fdp,2018-06,22,612
fdp,2018-07,12,624
fdp,2018-08,18,642
fdp,2018-09,17,659
fdp,2018-10,23,682
fdp,2018-11,26,708
fdp,2018-12,22,730
fdp,2019-01,14,744
fdp,2019-02,23,767
fdp,2019-03,29,796
fdp,2019-04,76,872
fdp,2019-05,112,984
fdp,2019-06,11,995
fdp,2019-07,20,1015
fdp,2019-08,46,1061
fdp,2019-09,18,1079
fdp,2019-10,25,1104
fdp,2019-11,38,1142
fdp,2019-12,34,1176
fdp,2020-01,46,1222
fdp,2020-02,19,1241
fdp,2020-03,26,1267
fdp,2020-04,28,1295
fdp,2020-05,49,1344
fdp,2020-06,37,1381
fdp,2020-07,57,1438
fdp,2020-08,49,1487
fdp,2020-09,50,1537
fdp,2020-10,46,1583
fdp,2020-11,43,1626
fdp,2020-12,39,1665
fdp,2021-01,37,1702
fdp,2021-02,44,1746
fdp,2021-03,50,1796
fdp,2021-04,41,1837
fdp,2021-05,51,1888
fdp,2021-06,41,1929
fdp,2021-07,42,1971
fdp,2021-08,68,2039
fdp,2021-09,95,2134
fdp,2021-10,32,2166
fdp,2021-11,34,2200
fdp,2021-12,52,2252
fdp,2022-01,36,2288
fdp,2022-02,45,2333
fdp,2022-03,67,2400
fdp,2022-04,47,2447
fdp,2022-05,59,2506
fdp,2022-06,51,2557
fdp,2022-07,56,2613
fdp,2022-08,66,2679
fdp,2022-09,86,2765
fdp,2022-10,96,2861
fdp,2022-11,70,2931
fdp,2022-12,55,2986
fdp,2023-01,66,3052
fdp,2023-02,57,3109
fdp,2023-03,52,3161
fdp,2023-04,71,3232
fdp,2023-05,34,3266
fdp,2023-06,35,3301
fdp,2023-07,19,3320
fdp,2023-08,29,3349
fdp,2023-09,39,3388
fdp,2023-10,32,3420
fdp,2023-11,49,3469
fdp,2023-12,36,3505
fdp,2024-01,39,3544
fdp,2024-02,31,3575
fdp,2024-03,39,3614
fdp,2024-04,88,3702
fdp,2024-05,95,3797
fdp,2024-06,138,3935
fdp,2024-07,51,3986
fdp,2024-08,33,4019
fdp,2024-09,41,4060
fdp,2024-10,59,4119
fdp,2024-11,45,4164
fdp,2024-12,42,4206
spdde,2014-02,0,0
spdde,2014-03,0,0
spdde,2014-04,0,0
spdde,2014-05,0,0
spdde,2014-06,0,0
spdde,2014-07,0,0
spdde,2014-08,0,0
spdde,2014-09,0,0
spdde,2014-10,0,0
spdde,2014-11,0,0
spdde,2014-12,0,0
spdde,2015-01,0,0
spdde,2015-02,0,0
spdde,2015-03,0,0
spdde,2015-04,0,0
spdde,2015-05,0,0
spdde,2015-06,0,0
spdde,2015-07,0,0
spdde,2015-08,0,0
spdde,2015-09,0,0
spdde,2015-10,0,0
spdde,2015-11,0,0
spdde,2015-12,0,0
spdde,2016-01,0,0
spdde,2016-02,0,0
spdde,2016-03,0,0
spdde,2016-04,0,0
spdde,2016-05,0,0
spdde,2016-06,0,0
spdde,2016-07,0,0
spdde,2016-08,0,0
spdde,2016-09,0,0
spdde,2016-10,4,4
spdde,2016-11,10,14
spdde,2016-12,10,24
spdde,2017-01,5,29
spdde,2017-02,6,35
spdde,2017-03,8,43
spdde,2017-04,5,48
spdde,2017-05,3,51
spdde,2017-06,24,75
spdde,2017-07,8,83
spdde,2017-08,9,92
spdde,2017-09,23,115
spdde,2017-10,0,0
spdde,2017-11,6,121
spdde,2017-12,13,134
spdde,2018-01,4,138
spdde,2018-02,4,142
spdde,2018-03,11,153
spdde,2018-04,6,159
spdde,2018-05,1,160
spdde,2018-06,1,161
spdde,2018-07,4,165
spdde,2018-08,0,0
spdde,2018-09,3,168
spdde,2018-10,13,181
spdde,2018-11,15,196
spdde,2018-12,4,200
spdde,2019-01,3,203
spdde,2019-02,4,207
spdde,2019-03,7,214
spdde,2019-04,5,219
spdde,2019-05,24,243
spdde,2019-06,3,246
spdde,2019-07,8,254
spdde,2019-08,6,260
spdde,2019-09,4,264
spdde,2019-10,6,270
spdde,2019-11,12,282
spdde,2019-12,3,285
spdde,2020-01,2,287
spdde,2020-02,6,293
spdde,2020-03,6,299
spdde,2020-04,1,300
spdde,2020-05,2,302
spdde,2020-06,1,303
spdde,2020-07,1,304
spdde,2020-08,1,305
spdde,2020-09,0,0
spdde,2020-10,25,330
spdde,2020-11,21,351
spdde,2020-12,20,371
spdde,2021-01,10,381
