Partei,Datum,Uhrzeit,Slideshow,Slide,Likes,Kommentare,Dateiname,Farbanteil
die_gruenen,2017-06-21,14-31-07,0,1,358,6,2017-06-21_14-31-07_UTC.jpg,0.1217
die_gruenen,2017-06-22,11-20-31,0,1,380,10,2017-06-22_11-20-31_UTC.jpg,0.0207
die_gruenen,2017-06-22,13-41-41,0,1,195,21,2017-06-22_13-41-41_UTC.jpg,0.0235
die_gruenen,2017-06-22,17-48-18,0,1,550,13,2017-06-22_17-48-18_UTC.jpg,0.0993
die_gruenen,2017-06-23,11-05-36,0,1,484,15,2017-06-23_11-05-36_UTC.jpg,0.0872
die_gruenen,2017-06-25,08-35-28,0,1,416,16,2017-06-25_08-35-28_UTC.jpg,0.6166
die_gruenen,2017-06-26,14-21-02,0,1,682,26,2017-06-26_14-21-02_UTC.jpg,0.7434
die_gruenen,2017-06-27,08-05-37,0,1,919,33,2017-06-27_08-05-37_UTC.jpg,0.8356
die_gruenen,2017-06-27,16-55-59,0,1,1055,51,2017-06-27_16-55-59_UTC.jpg,0.0949
die_gruenen,2017-06-29,09-56-58,0,1,1221,38,2017-06-29_09-56-58_UTC.jpg,0.2378
die_gruenen,2017-06-30,07-14-37,0,1,1674,89,2017-06-30_07-14-37_UTC.jpg,0.2057
die_gruenen,2017-07-02,10-58-45,0,1,760,24,2017-07-02_10-58-45_UTC.jpg,0.3447
die_gruenen,2017-07-02,17-57-50,0,1,289,4,2017-07-02_17-57-50_UTC.jpg,0.0211
die_gruenen,2017-07-03,12-01-07,0,1,901,36,2017-07-03_12-01-07_UTC.jpg,0.1315
die_gruenen,2017-07-05,18-04-38,0,1,781,47,2017-07-05_18-04-38_UTC.jpg,0.0557
die_gruenen,2017-07-07,13-53-32,0,1,733,15,2017-07-07_13-53-32_UTC.jpg,0.8379
die_gruenen,2017-07-12,16-05-10,0,1,557,33,2017-07-12_16-05-10_UTC.jpg,0.0579
die_gruenen,2017-07-13,15-43-46,0,1,335,17,2017-07-13_15-43-46_UTC.jpg,0.0453
die_gruenen,2017-07-14,15-21-29,0,1,493,43,2017-07-14_15-21-29_UTC.jpg,0.3601
die_gruenen,2017-07-16,13-01-32,0,1,549,24,2017-07-16_13-01-32_UTC.jpg,0.0348
die_gruenen,2017-07-17,16-06-22,0,1,738,41,2017-07-17_16-06-22_UTC.jpg,0.0568
die_gruenen,2017-07-19,15-39-37,0,1,700,84,2017-07-19_15-39-37_UTC.jpg,0.0302
die_gruenen,2017-07-24,15-27-11,0,1,510,112,2017-07-24_15-27-11_UTC.jpg,0.4224
die_gruenen,2017-07-24,15-35-32,1,1,510,112,2017-07-24_15-35-32_UTC_1.jpg,0.4126
die_gruenen,2017-07-24,15-35-32,1,10,510,112,2017-07-24_15-35-32_UTC_10.jpg,0.1672
die_gruenen,2017-07-24,15-35-32,1,2,510,112,2017-07-24_15-35-32_UTC_2.jpg,0.3635
die_gruenen,2017-07-24,15-35-32,1,3,510,112,2017-07-24_15-35-32_UTC_3.jpg,0.2943
die_gruenen,2017-07-24,15-35-32,1,4,510,112,2017-07-24_15-35-32_UTC_4.jpg,0.3767
die_gruenen,2017-07-24,15-35-32,1,5,510,112,2017-07-24_15-35-32_UTC_5.jpg,0.284
die_gruenen,2017-07-24,15-35-32,1,6,510,112,2017-07-24_15-35-32_UTC_6.jpg,0.3449
die_gruenen,2017-07-24,15-35-32,1,7,510,112,2017-07-24_15-35-32_UTC_7.jpg,0.3709
die_gruenen,2017-07-24,15-35-32,1,8,510,112,2017-07-24_15-35-32_UTC_8.jpg,0.2283
die_gruenen,2017-07-24,15-35-32,1,9,510,112,2017-07-24_15-35-32_UTC_9.jpg,0.1528
die_gruenen,2017-07-26,09-54-06,0,1,779,1196,2017-07-26_09-54-06_UTC.jpg,0.5806
die_gruenen,2017-08-08,07-57-29,0,1,620,6,2017-08-08_07-57-29_UTC.jpg,0.0089
die_gruenen,2017-08-09,06-37-02,0,1,736,21,2017-08-09_06-37-02_UTC.jpg,0.0003
die_gruenen,2017-08-16,17-26-55,0,1,1349,12,2017-08-16_17-26-55_UTC.jpg,0.5175
die_gruenen,2017-08-16,20-27-40,0,1,943,38,2017-08-16_20-27-40_UTC.jpg,0.0016
die_gruenen,2017-08-17,09-05-22,0,1,716,9,2017-08-17_09-05-22_UTC.jpg,0.0165
die_gruenen,2017-08-17,18-36-18,0,1,771,13,2017-08-17_18-36-18_UTC.jpg,0.0002
die_gruenen,2017-08-18,16-20-01,0,1,1135,63,2017-08-18_16-20-01_UTC.jpg,0.8117
die_gruenen,2017-08-24,09-29-03,0,1,1052,17,2017-08-24_09-29-03_UTC.jpg,0.0141
die_gruenen,2017-08-24,12-52-34,0,1,673,15,2017-08-24_12-52-34_UTC.jpg,0.0122
die_gruenen,2017-08-25,10-09-25,0,1,305,24,2017-08-25_10-09-25_UTC.jpg,0.0567
die_gruenen,2017-08-27,15-43-06,0,1,983,61,2017-08-27_15-43-06_UTC.jpg,0.5333
die_gruenen,2017-08-28,17-14-24,0,1,586,21,2017-08-28_17-14-24_UTC.jpg,0.3154
die_gruenen,2017-09-01,08-09-57,0,1,302,8,2017-09-01_08-09-57_UTC.jpg,0.0651
